CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location
50007228,COLONIA VERDE,Brooklyn,219,DEKALB AVENUE,11205.0,3476894287,Peruvian,04/14/2023,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,17.0,B,04/14/2023,04/15/2026,Cycle Inspection / Re-inspection,40.68952538871,-73.97063723513,302.0,35.0,18300.0,3058540.0,3020910071.0,BK68,POINT (-73.970637235134 40.689525388706)
41479685,FISH BONE,Brooklyn,4525,CHURCH AVENUE,11203.0,3477153764,Caribbean,05/04/2023,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,12.0,A,05/04/2023,04/15/2026,Cycle Inspection / Initial Inspection,40.65153117865,-73.93490403393,317.0,41.0,87200.0,3109165.0,3048820035.0,BK91,POINT (-73.934904033933 40.651531178652)
50150633,GOTTA GETTA BAGEL,Manhattan,263,1 AVENUE,10003.0,2123889292,Sandwiches/Salads/Mixed Buffet,11/26/2024,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,13.0,A,11/26/2024,04/15/2026,Pre-permit (Operational) / Re-inspection,40.73217044826,-73.98183628667,106.0,2.0,4800.0,1020422.0,1009220021.0,MN21,POINT (-73.981836286667 40.732170448256)
50109770,BURGER MAN,Manhattan,740,7 AVENUE,10019.0,3474715496,American,09/09/2025,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,29.0,,,04/15/2026,Cycle Inspection / Initial Inspection,40.76036219156,-73.98380670664,105.0,4.0,12500.0,1024778.0,1010200036.0,MN17,POINT (-73.983806706639 40.760362191557)
41612554,DUNKIN,Bronx,3732,EAST TREMONT AVENUE,10465.0,3474787992,Donuts,01/30/2025,Violations were cited in the following area(s).,19-10,Failure to display required signage about plastic straw availability,Not Critical,,,,04/15/2026,Administrative Miscellaneous / Initial Inspection,40.82647546825,-73.82201034546,210.0,13.0,15200.0,2079944.0,2055430156.0,BX52,POINT (-73.822010345463 40.826475468254)
50109741,MALA TOWN,Brooklyn,818,60 STREET,11220.0,7185766505,Chinese,12/13/2025,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,7.0,A,12/13/2025,04/15/2026,Cycle Inspection / Initial Inspection,40.63511082687,-74.00895330255,312.0,43.0,11800.0,3420622.0,3057147503.0,BK34,POINT (-74.008953302549 40.635110826868)
50084404,BUCCANEER DINER,Queens,93-01,ASTORIA BOULEVARD,11369.0,7184295188,American,06/06/2024,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,32.0,,,04/15/2026,Cycle Inspection / Initial Inspection,40.7631565701,-73.87617344483,403.0,21.0,34700.0,4032546.0,4013670025.0,QN28,POINT (-73.876173444834 40.763156570096)
50126592,CARIBBEAN TASTE BUDZ,Queens,87-82,SUTPHIN BOULEVARD,11435.0,7188854403,Caribbean,01/14/2026,Violations were cited in the following area(s).,20-04,"“Choking first aid” poster not posted. “Alcohol and Pregnancy” warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric), latex gloves, sign not posted.",Not Critical,,,,04/15/2026,Administrative Miscellaneous / Initial Inspection,40.70507356336,-73.80939114251,412.0,27.0,23800.0,4207061.0,4096900017.0,QN61,POINT (-73.809391142512 40.705073563359)
50165354,DESI PIZZA,Queens,111-03,101 AVENUE,11419.0,3475676337,Indian,07/07/2025,Violations were cited in the following area(s).,06A,Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required. Jewelry worn on hands or arms. Fingernail polish worn or fingernails not kept clean and trimmed.,Critical,64.0,,,04/15/2026,Pre-permit (Operational) / Initial Inspection,40.68808394711,-73.83260368103,409.0,29.0,11800.0,4198029.0,4094130049.0,QN54,POINT (-73.832603681027 40.688083947106)
41706939,TIPSY NOMAD,Manhattan,37,EAST   28 STREET,10016.0,2124813100,American,10/09/2024,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,24.0,,,04/15/2026,Cycle Inspection / Initial Inspection,40.74382520514,-73.98525427778,105.0,2.0,7400.0,1016904.0,1008580030.0,MN17,POINT (-73.985254277778 40.74382520514)
41720417,NUTRICION SIEMPRE SALUDABLE,Bronx,650,MELROSE AVENUE,10455.0,3475951953,"Juice, Smoothies, Fruit Salads",04/15/2025,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7.0,A,04/15/2025,04/15/2026,Cycle Inspection / Initial Inspection,40.81859863441,-73.91661038875,201.0,17.0,6700.0,2001356.0,2023740073.0,BX34,POINT (-73.916610388753 40.81859863441)
50082220,NEW TIMES SQUARE PIZZA,Manhattan,236,WEST   40 STREET,10018.0,7187956916,Pizza,02/03/2023,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,13.0,A,02/03/2023,04/15/2026,Cycle Inspection / Initial Inspection,40.75522462259,-73.98904889701,105.0,3.0,11300.0,1014507.0,1007890060.0,MN17,POINT (-73.989048897009 40.755224622585)
50107671,GOURMET BAKERY & DELI,Queens,96-15,METROPOLITAN AVENUE,11375.0,3473224771,Sandwiches/Salads/Mixed Buffet,04/21/2025,Violations were cited in the following area(s).,08C,"Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical,9.0,A,04/21/2025,04/15/2026,Cycle Inspection / Re-inspection,40.71131216282,-73.85627248877,406.0,29.0,70700.0,4076008.0,4031920042.0,QN17,POINT (-73.856272488771 40.711312162818)
50157123,CAFE JOIE,Queens,162-27,DEPOT ROAD,11358.0,9178865696,Coffee/Tea,02/21/2025,Violations were cited in the following area(s).,04J,"Properly scaled and calibrated thermometer or thermocouple not provided or not readily accessible in food preparation and hot/cold holding areas to measure temperatures of TCS foods during cooking, cooling, reheating, and holding.",Critical,27.0,N,,04/15/2026,Pre-permit (Operational) / Initial Inspection,40.76197815253,-73.80288879335,407.0,19.0,117100.0,4119561.0,4052850032.0,QN51,POINT (-73.802888793345 40.761978152525)
41067696,THE MODERN,Manhattan,11,WEST   53 STREET,10019.0,2123331220,French,07/09/2024,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,13.0,A,07/09/2024,04/15/2026,Cycle Inspection / Initial Inspection,40.76099510847,-73.97720066494,105.0,4.0,10400.0,1081128.0,1012690020.0,MN17,POINT (-73.977200664943 40.760995108468)
50082098,BROOKLYN CHOP HOUSE,Manhattan,150,NASSAU STREET,10038.0,2126191200,Steakhouse,09/15/2022,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,12.0,A,09/15/2022,04/15/2026,Cycle Inspection / Initial Inspection,40.71153382366,-74.00602743976,101.0,1.0,1501.0,1087756.0,1001007501.0,MN25,POINT (-74.006027439758 40.711533823659)
50144999,TOWN PLACE SUITES,Queens,38-42,11 STREET,11101.0,7183927600,American,04/04/2025,Violations were cited in the following area(s).,06A,Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required. Jewelry worn on hands or arms. Fingernail polish worn or fingernails not kept clean and trimmed.,Critical,60.0,,,04/15/2026,Cycle Inspection / Initial Inspection,40.75805131602,-73.94200432436,401.0,26.0,8500.0,4620269.0,4004740048.0,QN68,POINT (-73.942004324359 40.758051316022)
40659211,NOSH! - COURTYARD BY MARRIOTT,Manhattan,114,WEST   40 STREET,10018.0,2123910088,American,12/03/2024,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,33.0,,,04/15/2026,Cycle Inspection / Initial Inspection,40.75387385058,-73.98584759366,105.0,4.0,11300.0,1087857.0,1008150020.0,MN17,POINT (-73.985847593661 40.753873850575)
50072815,LA FONTANA SORELLENA,Staten Island,885,ANNADALE ROAD,10312.0,9173754390,Italian,01/23/2023,Establishment re-opened by DOHMH.,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,9.0,Z,01/23/2023,04/15/2026,Cycle Inspection / Reopening Inspection,40.54010578904,-74.1772168026,503.0,51.0,17005.0,5080380.0,5062447501.0,SI01,POINT (-74.177216802595 40.54010578904)
50183365,jkennedys,Manhattan,8,WEST   38 STREET,10018.0,3477766000,,01/01/1900,,,,Not Applicable,,,,04/15/2026,,40.75120835368,-73.98335417587,105.0,4.0,8400.0,1075696.0,1008390055.0,MN17,POINT (-73.983354175874 40.751208353675)
50154575,PHO GA VANG,Manhattan,30,MARKET STREET,10002.0,2155190306,Southeast Asian,03/03/2026,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,120.0,,,04/15/2026,Pre-permit (Operational) / Re-inspection,40.71271958606,-73.99440891774,103.0,1.0,800.0,1003281.0,1002750022.0,MN27,POINT (-73.994408917735 40.712719586056)
41052309,BEAN POST PUB,Brooklyn,7525,5 AVENUE,11209.0,7187459413,American,12/11/2024,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,45.0,C,12/11/2024,04/15/2026,Cycle Inspection / Re-inspection,40.62922410648,-74.02273253007,310.0,43.0,13400.0,3148817.0,3059420001.0,BK31,POINT (-74.022732530073 40.629224106483)
41598755,TROOST,Brooklyn,1011,MANHATTAN AVENUE,11222.0,3478896761,American,09/03/2025,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,26.0,B,09/03/2025,04/15/2026,Cycle Inspection / Re-inspection,40.73349145281,-73.95481352455,301.0,33.0,56300.0,3064145.0,3025220042.0,BK76,POINT (-73.954813524549 40.733491452814)
41718530,HUNTS POINT JUICE BAR & DELI,Bronx,620,MANIDA STREET,10474.0,3479189442,Spanish,08/11/2023,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,25.0,B,08/11/2023,04/15/2026,Cycle Inspection / Re-inspection,40.81258240587,-73.88788345149,202.0,17.0,9300.0,2006661.0,2027650290.0,BX27,POINT (-73.887883451493 40.812582405866)
50163420,EL GUSTO DE MI PUEBLO,Brooklyn,6822,NEW UTRECHT AVENUE,11219.0,3473742599,Latin American,07/31/2025,Violations were cited in the following area(s).,28-06,Contract with a pest management professional not in place. Record of extermination activities not kept on premises.,Not Critical,118.0,,,04/15/2026,Pre-permit (Operational) / Initial Inspection,40.62102219354,-73.99846187118,311.0,43.0,19000.0,3134835.0,3055730021.0,BK28,POINT (-73.998461871179 40.621022193535)
50148062,BASSOUL'S GOURMET KITCHEN,Brooklyn,502,AVENUE M,11230.0,7182101655,Jewish/Kosher,08/15/2025,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,28.0,Z,08/15/2025,04/15/2026,Pre-permit (Operational) / Re-inspection,40.61686274903,-73.97030192251,312.0,44.0,44400.0,3172875.0,3065680001.0,BK46,POINT (-73.970301922508 40.61686274903)
41151163,GALAXY DINER,Manhattan,665,9 AVENUE,10036.0,2125864885,American,04/05/2023,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,33.0,,,04/15/2026,Cycle Inspection / Initial Inspection,40.76108208399,-73.99070120907,104.0,3.0,12700.0,1080934.0,1010560029.0,MN15,POINT (-73.990701209066 40.761082083992)
50004698,ROSEBANK PIZZA,Staten Island,1372,BAY STREET,10305.0,7184475300,Pizza,02/19/2026,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,19.0,,,04/15/2026,Cycle Inspection / Initial Inspection,40.61016008818,-74.063251074,501.0,49.0,800.0,5043072.0,5028630045.0,SI37,POINT (-74.063251074004 40.610160088177)
50087924,JAM'IT BISTRO,Brooklyn,367,COLUMBIA STREET,11231.0,3475990941,Caribbean,11/20/2024,Violations were cited in the following area(s).,03I,"Juice packaged on premises with no or incomplete label, no warning statement",Critical,24.0,B,11/20/2024,04/15/2026,Cycle Inspection / Re-inspection,40.67945295679,-74.00535754049,306.0,38.0,5900.0,3008270.0,3005130006.0,BK33,POINT (-74.005357540485 40.679452956785)
50058735,POPEYES,Manhattan,712,BROADWAY,10003.0,9293878513,American,08/25/2025,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,9.0,A,08/25/2025,04/15/2026,Cycle Inspection / Initial Inspection,40.72886153458,-73.99385192202,102.0,2.0,5700.0,1082384.0,1005450008.0,MN23,POINT (-73.993851922023 40.728861534582)
50057589,TOUS LES JOURS,Queens,39-16,PRINCE STREET,11354.0,7188881992,Bakery Products/Desserts,04/03/2024,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,37.0,,,04/15/2026,Cycle Inspection / Initial Inspection,40.75947767553,-73.8322430801,407.0,20.0,87100.0,4539244.0,4049737501.0,QN22,POINT (-73.832243080099 40.75947767553)
41663211,TACO BELL,Queens,172-12,NORTHERN BOULEVARD,11358.0,7183596709,Tex-Mex,10/16/2025,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,13.0,A,10/16/2025,04/15/2026,Cycle Inspection / Initial Inspection,40.75772165095,-73.79387381345,407.0,19.0,145900.0,4124259.0,4055110001.0,QN48,POINT (-73.793873813445 40.757721650952)
50119580,CHINA DRAGON,Queens,19-44A,37 STREET,11105.0,9174329588,Chinese,08/25/2022,Violations were cited in the following area(s).,09C,"Design, construction, materials used or maintenance of food contact surface improper.  Surface not easily cleanable, sanitized and maintained.",Not Critical,12.0,,,04/15/2026,Pre-permit (Operational) / Compliance Inspection,40.77843407159,-73.90191106844,401.0,22.0,10701.0,4458169.0,4008260006.0,QN72,POINT (-73.901911068442 40.778434071594)
50119726,MATTO ESPRESSO,Manhattan,359,EAST   68 STREET,10065.0,9295093101,Coffee/Tea,05/12/2023,Violations were cited in the following area(s).,09C,"Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained.",Not Critical,22.0,,,04/15/2026,Cycle Inspection / Initial Inspection,40.76567805752,-73.95889259662,108.0,5.0,11800.0,1044795.0,1014437501.0,MN31,POINT (-73.958892596624 40.765678057521)
41541736,ASIA ROMA,Manhattan,40,MULBERRY STREET,10013.0,9177238102,American,09/21/2023,Violations were cited in the following area(s).,10H,"Single service article not provided. Single service article reused or not protected from contamination when transported, stored, dispensed. Drinking straws not completely enclosed in wrapper or dispensed from a sanitary device.",Not Critical,12.0,A,09/21/2023,04/15/2026,Cycle Inspection / Re-inspection,40.71483044895,-73.9996140227,103.0,1.0,2900.0,1001808.0,1001640006.0,MN27,POINT (-73.999614022696 40.71483044895)
50148740,MOKA & CO,Queens,28-54,STEINWAY STREET,11103.0,9296667002,Coffee/Tea,08/06/2024,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,64.0,,,04/15/2026,Pre-permit (Operational) / Initial Inspection,40.7651865505,-73.91394835886,401.0,22.0,6502.0,4010767.0,4006620040.0,QN70,POINT (-73.913948358856 40.765186550502)
50087995,LA TROPEZIENNE BAKERY,Manhattan,2131,1 AVENUE,10029.0,2128605324,Bakery Products/Desserts,05/29/2025,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,38.0,,,04/15/2026,Cycle Inspection / Initial Inspection,40.79196636053,-73.93836320494,111.0,8.0,18000.0,1052841.0,1016810028.0,MN34,POINT (-73.938363204935 40.79196636053)
41577558,SUBWAY,Manhattan,36,WEST   46 STREET,10036.0,2122217565,Sandwiches,02/27/2025,Violations were cited in the following area(s).,06A,Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required. Jewelry worn on hands or arms. Fingernail polish worn or fingernails not kept clean and trimmed.,Critical,9.0,A,02/27/2025,04/15/2026,Cycle Inspection / Re-inspection,40.75655740961,-73.98031360721,105.0,4.0,9600.0,1034263.0,1012610056.0,MN17,POINT (-73.980313607207 40.756557409609)
